"common_name","scientific_name"
"Silvereye","Zosterops lateralis"
"Golden Whistler","Pachycephala pectoralis"
"Black Swan","Cygnus atratus"
"Apostlebird","Struthidea cinerea"
"Australasian Grebe","Tachybaptus novaehollandiae"
"Australian Magpie","Gymnorhina tibicen"
"Black-fronted Dotterel","Thinornis melanops"
"Emu","Dromaius novaehollandiae"
"Fairy Martin","Petrochelidon ariel"
"Galah","Eolophus roseicapilla"
"Hooded Robin","Melanodryas cucullata"
"House Sparrow","Passer domesticus"
"Little Corella","Cacatua sanguinea"
"Little Friarbird","Philemon citreogularis"
"Magpie-lark","Grallina cyanoleuca"
"Pink Cockatoo","Cacatua leadbeateri"
"Red-capped Robin","Petroica goodenovii"
"Rufous Songlark","Cincloramphus mathewsi"
"Rufous Whistler","Pachycephala rufiventris"
"Singing Honeyeater","Gavicalis virescens"
"Sulphur-crested Cockatoo","Cacatua galerita"
"Welcome Swallow","Hirundo neoxena"
"White-winged Triller","Lalage tricolor"
"Willie-wagtail","Rhipidura leucophrys"
"Australasian Gannet","Morus serrator"
"Flesh-footed Shearwater","Ardenna carneipes"
"Fluttering Shearwater","Puffinus gavia"
"Hutton's Shearwater","Puffinus huttoni"
"Short-tailed Shearwater","Ardenna tenuirostris"
"Wedge-tailed Shearwater","Ardenna pacifica"
"Wedge-tailed Eagle","Aquila audax"
"Australian Ibis","Threskiornis molucca"
"Nankeen Kestrel","Falco cenchroides"
"Azure Kingfisher","Ceyx azureus"
"Brown Falcon","Falco berigora"
"Brown Treecreeper","Climacteris picumnus"
"Crested Pigeon","Ocyphaps lophotes"
"Dusky Moorhen","Gallinula tenebrosa"
"Eurasian Coot","Fulica atra"
"Gray Teal","Anas gracilis"
"Gray Fantail","Rhipidura albiscapa"
"Little Black Cormorant","Phalacrocorax sulcirostris"
"Little Pied Cormorant","Microcarbo melanoleucos"
"Long-billed Corella","Cacatua tenuirostris"
"Maned Duck","Chenonetta jubata"
"Noisy Friarbird","Philemon corniculatus"
"Pacific Black Duck","Anas superciliosa"
"Australasian Swamphen","Porphyrio melanotus"
"Red Wattlebird","Anthochaera carunculata"
"Royal Spoonbill","Platalea regia"
"Straw-necked Ibis","Threskiornis spinicollis"
"White-faced Heron","Egretta novaehollandiae"
